# timestamp,line
1618426107446,1618426107432446976-23.70
1618426107446,1618426107432446976-76.80
1618426107446,1618426107432446976-62.20
1618426108440,1618426108432446976-84.90
1618426108443,1618426108432446976-23.00
1618426108443,1618426108432446976-68.10
1618426108443,1618426108432446976-22.00
1618426109440,1618426109432446976-24.20
1618426109440,1618426109432446976-81.00
1618426109440,1618426109432446976-24.50
1618426109440,1618426109432446976-73.60
1618426110442,1618426110432446976-26.10
1618426110442,1618426110432446976-89.70
1618426110442,1618426110432446976-72.90
1618426110442,1618426110432446976-24.30
1618426111437,1618426111432446976-22.70
1618426111437,1618426111432446976-76.40
1618426111437,1618426111432446976-25.30
1618426111437,1618426111432446976-93.30
1618426112434,1618426112432446976-78.70
1618426112434,1618426112432446976-74.80
1618426112434,1618426112432446976-24.80
1618426112434,1618426112432446976-19.90
1618426113447,1618426113432446976-22.90
1618426113448,1618426113432446976-74.30
1618426113448,1618426113432446976-17.30
1618426113448,1618426113432446976-59.40
1618426114441,1618426114432446976-50.00
1618426114441,1618426114432446976-61.70
1618426114441,1618426114432446976-20.00
1618426114441,1618426114432446976-19.30
1618426115442,1618426115432446976-20.50
1618426115442,1618426115432446976-59.40
1618426115442,1618426115432446976-55.30
1618426115442,1618426115432446976-19.70
1618426116436,1618426116432446976-63.10
1618426116436,1618426116432446976-21.00
1618426116436,1618426116432446976-58.80
1618426116436,1618426116432446976-19.50
1618426117437,1618426117432446976-56.30
1618426117437,1618426117432446976-65.60
1618426117437,1618426117432446976-21.50
1618426117437,1618426117432446976-20.60
1618426118439,1618426118432446976-22.00
1618426118439,1618426118432446976-63.50
1618426118439,1618426118432446976-77.20
1618426118439,1618426118432446976-20.40
1618426119432,1618426119432446976-23.70
1618426119432,1618426119432446976-22.50
1618426119432,1618426119432446976-62.20
1618426119432,1618426119432446976-76.80
1618426120437,1618426120432446976-22.00
1618426120437,1618426120432446976-23.00
1618426120437,1618426120432446976-84.90
1618426120437,1618426120432446976-68.10
1618426121439,1618426121432446976-24.20
1618426121439,1618426121432446976-81.00
1618426121439,1618426121432446976-73.60
1618426121439,1618426121432446976-24.50
1618426122433,1618426122432446976-24.30
1618426122433,1618426122432446976-89.70
1618426122433,1618426122432446976-26.10
1618426122433,1618426122432446976-72.90
1618426123432,1618426123432446976-76.40
1618426123432,1618426123432446976-25.30
1618426123432,1618426123432446976-22.70
1618426123432,1618426123432446976-93.30
1618426124441,1618426124432446976-74.80
1618426124441,1618426124432446976-19.90
1618426124442,1618426124432446976-24.80
1618426124442,1618426124432446976-78.70
1618426125440,1618426125432446976-74.30
1618426125440,1618426125432446976-17.30
1618426125440,1618426125432446976-59.40
1618426125440,1618426125432446976-22.90
1618426126437,1618426126432446976-50.00
1618426126437,1618426126432446976-19.30
1618426126437,1618426126432446976-20.00
1618426126438,1618426126432446976-61.70
1618426127436,1618426127432446976-19.70
1618426127436,1618426127432446976-55.30
1618426127436,1618426127432446976-20.50
1618426127436,1618426127432446976-59.40
1618426128444,1618426128432446976-19.50
1618426128444,1618426128432446976-21.00
1618426128444,1618426128432446976-58.80
1618426128444,1618426128432446976-63.10
1618426129438,1618426129432446976-65.60
1618426129438,1618426129432446976-20.60
1618426129438,1618426129432446976-21.50
1618426129438,1618426129432446976-56.30
1618426130447,1618426130432446976-63.50
1618426130447,1618426130432446976-20.40
1618426130447,1618426130432446976-77.20
1618426130447,1618426130432446976-22.00
1618426131445,1618426131432446976-22.50
1618426131445,1618426131432446976-76.80
1618426131445,1618426131432446976-23.70
1618426131445,1618426131432446976-62.20
1618426132437,1618426132432446976-22.00
1618426132438,1618426132432446976-84.90
1618426132438,1618426132432446976-23.00
1618426132439,1618426132432446976-68.10
1618426133436,1618426133432446976-24.20
1618426133436,1618426133432446976-81.00
1618426133436,1618426133432446976-24.50
1618426133436,1618426133432446976-73.60
1618426134439,1618426134432446976-26.10
1618426134439,1618426134432446976-89.70
1618426134439,1618426134432446976-72.90
1618426134439,1618426134432446976-24.30
1618426135433,1618426135432446976-93.30
1618426135433,1618426135432446976-25.30
1618426135433,1618426135432446976-76.40
1618426135433,1618426135432446976-22.70
1618426136446,1618426136432446976-19.90
1618426136446,1618426136432446976-74.80
1618426136447,1618426136432446976-78.70
1618426136447,1618426136432446976-24.80
1618426137440,1618426137432446976-74.30
1618426137440,1618426137432446976-22.90
1618426137440,1618426137432446976-17.30
1618426137440,1618426137432446976-59.40
1618426138440,1618426138432446976-61.70
1618426138440,1618426138432446976-20.00
1618426138440,1618426138432446976-50.00
1618426138440,1618426138432446976-19.30
1618426139436,1618426139432446976-59.40
1618426139436,1618426139432446976-20.50
1618426139436,1618426139432446976-55.30
1618426139436,1618426139432446976-19.70
1618426140447,1618426140432446976-63.10
1618426140447,1618426140432446976-58.80
1618426140447,1618426140432446976-21.00
1618426140447,1618426140432446976-19.50
1618426141444,1618426141432446976-21.50
1618426141444,1618426141432446976-20.60
1618426141444,1618426141432446976-65.60
1618426141444,1618426141432446976-56.30
1618426142441,1618426142432446976-20.40
1618426142441,1618426142432446976-63.50
1618426142441,1618426142432446976-22.00
1618426142441,1618426142432446976-77.20
1618426143435,1618426143432446976-22.50
1618426143435,1618426143432446976-23.70
1618426143435,1618426143432446976-76.80
1618426143435,1618426143432446976-62.20
1618426144434,1618426144432446976-23.00
1618426144434,1618426144432446976-68.10
1618426144434,1618426144432446976-22.00
1618426144434,1618426144432446976-84.90
1618426145447,1618426145432446976-81.00
1618426145447,1618426145432446976-24.50
1618426145447,1618426145432446976-24.20
1618426145447,1618426145432446976-73.60
1618426146444,1618426146432446976-26.10
1618426146444,1618426146432446976-89.70
1618426146444,1618426146432446976-24.30
1618426146444,1618426146432446976-72.90
1618426147439,1618426147432446976-22.70
1618426147439,1618426147432446976-25.30
1618426147439,1618426147432446976-93.30
1618426147439,1618426147432446976-76.40
1618426148433,1618426148432446976-19.90
1618426148434,1618426148432446976-24.80
1618426148434,1618426148432446976-78.70
1618426148434,1618426148432446976-74.80
1618426149447,1618426149432446976-59.40
1618426149447,1618426149432446976-74.30
1618426149447,1618426149432446976-22.90
1618426149448,1618426149432446976-17.30
1618426150442,1618426150432446976-50.00
1618426150442,1618426150432446976-61.70
1618426150442,1618426150432446976-20.00
1618426150443,1618426150432446976-19.30
1618426151438,1618426151432446976-20.50
1618426151438,1618426151432446976-55.30
1618426151438,1618426151432446976-19.70
1618426151438,1618426151432446976-59.40
1618426152435,1618426152432446976-21.00
1618426152435,1618426152432446976-58.80
1618426152436,1618426152432446976-63.10
1618426152436,1618426152432446976-19.50
1618426153435,1618426153432446976-56.30
1618426153436,1618426153432446976-21.50
1618426153436,1618426153432446976-20.60
1618426153436,1618426153432446976-65.60
1618426154443,1618426154432446976-63.50
1618426154444,1618426154432446976-22.00
1618426154445,1618426154432446976-77.20
1618426154445,1618426154432446976-20.40
1618426155443,1618426155432446976-62.20
1618426155443,1618426155432446976-76.80
1618426155443,1618426155432446976-23.70
1618426155443,1618426155432446976-22.50
1618426156446,1618426156432446976-68.10
1618426156446,1618426156432446976-23.00
1618426156446,1618426156432446976-22.00
1618426156446,1618426156432446976-84.90
1618426157444,1618426157432446976-24.50
1618426157444,1618426157432446976-24.20
1618426157444,1618426157432446976-81.00
1618426157444,1618426157432446976-73.60
1618426158438,1618426158432446976-72.90
1618426158438,1618426158432446976-24.30
1618426158438,1618426158432446976-26.10
1618426158438,1618426158432446976-89.70
1618426159436,1618426159432446976-93.30
1618426159436,1618426159432446976-25.30
1618426159436,1618426159432446976-76.40
1618426159436,1618426159432446976-22.70
1618426160433,1618426160432446976-78.70
1618426160433,1618426160432446976-74.80
1618426160433,1618426160432446976-19.90
1618426160433,1618426160432446976-24.80
1618426161444,1618426161432446976-22.90
1618426161444,1618426161432446976-74.30
1618426161444,1618426161432446976-17.30
1618426161444,1618426161432446976-59.40
1618426162443,1618426162432446976-20.00
1618426162443,1618426162432446976-19.30
1618426162443,1618426162432446976-50.00
1618426162443,1618426162432446976-61.70
1618426163442,1618426163432446976-55.30
1618426163443,1618426163432446976-20.50
1618426163443,1618426163432446976-59.40
1618426163444,1618426163432446976-19.70
1618426164444,1618426164432446976-63.10
1618426164445,1618426164432446976-58.80
1618426164445,1618426164432446976-21.00
1618426164445,1618426164432446976-19.50
1618426165442,1618426165432446976-65.60
1618426165442,1618426165432446976-56.30
1618426165442,1618426165432446976-21.50
1618426165442,1618426165432446976-20.60
1618426166442,1618426166432446976-20.40
1618426166442,1618426166432446976-77.20
1618426166442,1618426166432446976-22.00
1618426166442,1618426166432446976-63.50
1618426167440,1618426167432446976-62.20
1618426167440,1618426167432446976-22.50
1618426167440,1618426167432446976-76.80
1618426167440,1618426167432446976-23.70
1618426168444,1618426168432446976-22.00
1618426168444,1618426168432446976-68.10
1618426168444,1618426168432446976-84.90
1618426168445,1618426168432446976-23.00
1618426169439,1618426169432446976-81.00
1618426169439,1618426169432446976-24.50
1618426169439,1618426169432446976-24.20
1618426169439,1618426169432446976-73.60
1618426170436,1618426170432446976-26.10
1618426170436,1618426170432446976-89.70
1618426170436,1618426170432446976-24.30
1618426170436,1618426170432446976-72.90
1618426171437,1618426171432446976-25.30
1618426171437,1618426171432446976-93.30
1618426171437,1618426171432446976-22.70
1618426171437,1618426171432446976-76.40
1618426172434,1618426172432446976-78.70
1618426172434,1618426172432446976-24.80
1618426172434,1618426172432446976-74.80
1618426172434,1618426172432446976-19.90
1618426173438,1618426173432446976-17.30
1618426173438,1618426173432446976-22.90
1618426173438,1618426173432446976-74.30
1618426173438,1618426173432446976-59.40
1618426174438,1618426174432446976-20.00
1618426174438,1618426174432446976-19.30
1618426174438,1618426174432446976-50.00
1618426174438,1618426174432446976-61.70
1618426175444,1618426175432446976-55.30
